,ID,Pred
1,2019_1101_1113,0.220993861
2,2019_1113_1120,0.531231206
3,2019_1101_1120,0.532540399
4,2019_1120_1124,0.494715953
5,2019_1113_1124,0.131322747
6,2019_1101_1124,0.820991693
7,2019_1120_1125,0.262988245
8,2019_1124_1125,0.551286416
9,2019_1101_1125,0.619476475
10,2019_1113_1125,0.033603163
11,2019_1101_1133,0.390984103
12,2019_1124_1133,0.883782768
13,2019_1120_1133,0.547511568
14,2019_1113_1133,0.235164521
15,2019_1125_1133,0.861362095
16,2019_1124_1138,0.886170443
17,2019_1125_1138,0.376614647
18,2019_1101_1138,0.38667479
19,2019_1120_1138,0.826254983
20,2019_1113_1138,0.739942081
21,2019_1133_1138,0.134095177
22,2019_1124_1153,0.513907693
23,2019_1113_1153,0.318719567
24,2019_1101_1153,0.770072534
25,2019_1138_1153,0.797287933
26,2019_1125_1153,0.159939136
27,2019_1133_1153,0.885210021
28,2019_1120_1153,0.803327461
29,2019_1125_1159,0.578343726
30,2019_1113_1159,0.695469526
31,2019_1101_1159,0.395309523
32,2019_1133_1159,0.706623016
33,2019_1120_1159,0.950778607
34,2019_1153_1159,0.40033141
35,2019_1138_1159,0.295159105
36,2019_1124_1159,0.595216461
37,2019_1133_1181,0.789789578
38,2019_1138_1181,0.902709135
39,2019_1124_1181,0.158822808
40,2019_1159_1181,0.280648954
41,2019_1113_1181,0.916159621
42,2019_1101_1181,0.511698603
43,2019_1125_1181,0.576922571
44,2019_1153_1181,0.193180563
45,2019_1120_1181,0.85186079
46,2019_1181_1192,0.029465412
47,2019_1153_1192,0.233568388
48,2019_1101_1192,0.803765249
49,2019_1113_1192,0.452780611
50,2019_1159_1192,0.839221486
51,2019_1133_1192,0.888417963
52,2019_1120_1192,0.7108743
53,2019_1125_1192,0.427556211
54,2019_1124_1192,0.09699886
55,2019_1138_1192,0.243537096
56,2019_1153_1196,0.470533845
57,2019_1181_1196,0.228940333
58,2019_1124_1196,0.112581629
59,2019_1101_1196,0.978223288
60,2019_1159_1196,0.911280781
61,2019_1125_1196,0.597623262
62,2019_1113_1196,0.073172359
63,2019_1192_1196,0.274754533
64,2019_1138_1196,0.153056152
65,2019_1120_1196,0.4765528
66,2019_1133_1196,0.345723055
67,2019_1138_1199,0.504741913
68,2019_1101_1199,0.336775777
69,2019_1113_1199,0.254550442
70,2019_1181_1199,0.572381077
71,2019_1120_1199,0.600151897
72,2019_1192_1199,0.283516028
73,2019_1153_1199,0.028408731
74,2019_1124_1199,0.612866
75,2019_1196_1199,0.782121789
76,2019_1133_1199,0.699991479
77,2019_1159_1199,0.142694883
78,2019_1125_1199,0.467089208
79,2019_1192_1205,0.69535191
80,2019_1138_1205,0.454157149
81,2019_1153_1205,0.054670487
82,2019_1124_1205,0.260601588
83,2019_1101_1205,0.785840754
84,2019_1181_1205,0.210364022
85,2019_1113_1205,0.84748188
86,2019_1125_1205,0.505648456
87,2019_1133_1205,0.102428901
88,2019_1159_1205,0.151379121
89,2019_1196_1205,0.386815504
90,2019_1199_1205,0.401347401
91,2019_1120_1205,0.669489857
92,2019_1192_1209,0.421388222
93,2019_1133_1209,0.890161606
94,2019_1205_1209,0.749740012
95,2019_1159_1209,0.251695305
96,2019_1196_1209,0.300597739
97,2019_1101_1209,0.123289882
98,2019_1125_1209,0.130286378
99,2019_1181_1209,0.250375878
100,2019_1199_1209,0.21399501
